City Name
District Karachi Malir
"Mohalla Mohammadi, Multan"
Qamber Shahdad Kot
"Melsi, District Wahari"
"Hasilpur, District Bahawalpur"
"Manchanabad, District Bahawalnagar"
City? District Faisalabad
Toba Tek Singh
Hafizabad? District Hafizabad
"Ten Three, Islamabad"
"Sheikhupura, District Sheikhupura"
"Lo, Tehsil/District Khairpur"
Rohri? District Sukkur
"City, District Faisalabad"
"SALANWALI, DISTRICT SARGODHA"
"Sadr, District Multan"
"Safdarabad, District Sheikhupura"
"Block C, Islamabad"
Tehsil/ District Rawalpindi
"Dunyapur, District Lodhran"
Tehsil/ District Jhang
"Bhawana, District Chiniot"
Berki?Lahore Cantt?Lahore District
/ District Charsadda
Rahim Yar Khan
"SAMORANA, TEHSIL/DISTRICT MULTAN"
Tehsil/ District Jhang
"Jhamra, District Faisalabad"
"Hafizabad, District Hafizabad"
No. 7-B?Mohalla Sharifpura?Multan
Ziyad Colony? Wahari
"Yazman, District Bahawalpur"
Silanwali? District Sargodha
Rahim Yar Khan
"Leh, District Leh"
"Kot Farid, Sargodha"
"Dipalpur, District Okara"
Hafizabad? District Hafizabad
House No. CB-1216?
Addu? District Muzaffargarh
"Firozwala, District Sheikhupura"
Kot Udo Non-permanent?
Lalian? District Chiniot
"Jatoi, District Muzaffargarh"
Rahim Yar Khan
District Hafiz Abad
"Sadr, District Multan"
"Shakargarh, District Narowal"
K Waraich? Gujranwala
"Hafizabad, District Hafizabad"
Pirwala? District Multan
Sadar? District Faisalabad
Tehsil/ District Malir
"West, Karachi South"
Karachi?Sector 11-H?Karachi Central
Citizen Colony?Qasimabad?District Hyderabad
Bandra Palli? Bahawalpur
"L, Karachi Central"
"2 A, Karachi"
"Bhawana, District Chiniot"
District Mirpur Khas
Norang?District Laki Marwat
Leh? District Leh
"Kotri, District Jamshoro"
"Three Two, Islamabad"
Rahim Yar Khan
Paplan? District Mianwali
"Paplan, District Mianwali"
"Mathilo, District Ghotki"
"Pirwala, District Multan"
"Sial, District Jhang"
Yazman Road? Bahawalpur
Mazari Manzil? Kashmore
"4, Karachi Central"
"Khan, District Bhakkar"
"Sheikhupora, District Sheikhupora"
"Chinnu, District Khanewal"
KM Ferozepore Road?Lahore
Toba Tek Singh
Canal Bank Harbanspora?Lahore
Chunian? District Kasur
"Sial, District Jhang"
"Valencia Town, Lahore"
near the house
Maraka Multan Road?Lahore
park mugalpura lahore
"Chunian, District Kasur"
Sabar Basti? Kasur
Tehsilpuran? District Shangla
Toba Tek Singh
"Merwah, District Khairpur"
Addu? District Muzaffargarh
"Melsi, District Wahari"
"Jhang, District Jhang"
Tehsil/ District Rawalpindi
Samandri? District Faisalabad
"Razar, District Swabi"
Tehsil/ District Jhang
"Dunyapur, District Lodhran"
Rahim Yar Khan
"Muridke, District Sheikhupura"
"Mandi Town, Leh"
Near Shop Stop?Islamabad
City? District Faisalabad
"Shahpur, District Sargodha"
Shahdrah Lahore .
Jatoi? District Muzaffargarh
Bhattian District Hafizabad
Sheikhupura? District Sheikhupura
"Block F, Lahore"
"Gilgasht Colony, Multan"
Mahalla Lodhran? Lodhran
"Shamsabad Colony, Multan"
Iftikhar Town? Khanewal
"Jhang, Punjab, Pakistan"
Toba Tek Singh
Tehsil/ District Khairpur
"Pattoki, District Kasur"
"City, District Faisalabad"
"Block A, Sargodha"
multan sadar Multan
Aisan District Leah
"Cantt., District Lahore"
"Block V, Bahawalpur"
"Satellite Town, Bahawalpur"
"Gulmeri, Tehsil/District Mianwali"
"Police Line, Bahawalpur"
"Wahin, Tehsil/District Muzaffargarh"
"Ramaswamy, Karachi South"
"Chanu, District Khanewal"
"Lakar Mandi, Multan"
Sadar? District Multan
Hasilpur? District Bahawalpur
Tehsil/ District Multan
Dak Khangarh Mor
Tehsil/ District Jhang
"Kabirwala, District Khaniwal"
"Mohalla Rehmanpura, Gujranwala"
"Jhang, District Jhang"
"Alipur, District Muzaffargarh"
"Shurkot, Jhang District."
City? District Faisalabad
